id,俄语
21838,Добавлен(а) в черный список
21839,Вам запрещено оставлять комментарии под статусом #c0aaa1a @1 #n
21840,"Не удалось отправить. Пожалуйста, попробуйте позже"
21841,@1#r ответил @2:
21842,Этот игрок уже в черном списке
21843,Освещение:
21844,Официальный статус
21845,Вставить ссылку
21846,Введите ссылку
21847,Ссылка введена успешно
21848,Текущая ссылка:
21849,Не удается показать статус. Проверьте интернет-соединение
21850,Текст для отображения (Т)
21851,Введите адрес гиперссылки (E)
21852,Очистить
21853,Популярный поиск на карте
21854,Попробуйте другой тип поиска? Вы также можете искать «Автор» или «Многопользовательский»
21855,Там нет такого автора
21856,Вы можете искать только ID хоста многопользовательской комнаты
21857,"Поиск карт, игроков и комнат"
21858,Попробуйте другое ключевое слово
21859,Поиск найдено
21860,Общий
21861,Игрок
21862,Комната
21863,Ресурсы
21864,Автор
21865,Карта
21866,0
21867,@Null@
22000,@Null@
22001,@Null@
22002,@Null@
22003,@Null@
22004,@Null@
22005,@Null@
22006,@Null@
22007,@Null@
22008,@Null@
22009,@Null@
22010,@Null@
22011,@Null@
22012,@Null@
22013,@Null@
22014,@Null@
22015,@Null@
22016,@Null@
22017,@Null@
22018,@Null@
22019,@Null@
22020,@Null@
22021,@Null@
22022,@Null@
22023,@Null@
22024,@Null@
22025,@Null@
22026,@Null@
22027,@Null@
22028,@Null@
22029,@Null@
22030,@Null@
22031,@Null@
22032,@Null@
22033,@Null@
22034,@Null@
22035,@Null@
22036,@Null@
22037,@Null@
22038,@Null@
22039,@Null@
22040,@Null@
22041,@Null@
22042,@Null@
22043,@Null@
22044,@Null@
22045,@Null@
22046,Привязать награды:
22047,"Успешно привязывать электронную почту, чтобы получать щедрые награды"
22050,@Null@
23000,@Null@
23001,Магазин
23002,Этот предмет недоступен для данной версии карты. Скачайте последнюю версию карты и повторите покупку
23003,"Пожалуйста, введите цифры"
23004,Этот предмет не может быть получен
23005,Этот предмет не может быть приобретен
23006,"Такой же предмет уже существует. Пожалуйста, выберите снова"
23007,Название предмета
23008,Недостаточно Мини монет/бобов. Сначала обменяйте и повторите попытку
23009,Автор карты не разработчик
23010,Успешно приобретено. Время накапливается автоматически
23011,Категория предметов
23012,Оружие
23013,Снаряжение
23014,Еда
23015,Предмет
23016,Расходные материалы
23017,Другие
23018,Маунт
23019,Инструмент
23020,Подарочная упаковка
23021,Введите имя
23022,"После данного удаления классификация будет также удалена. Вы уверены, что хотите удалить?"
23023,Этот автор пока не открыл магазин
23024,Уведомление
23025,Переименовать
23026,Сортировать
23027,Удалить
23028,Переименовано успешно
23029,Сортировано успешно
23030,Удалено успешно
23031,"Символов слишком много. Пожалуйста, повторите попытку"
23032,"Содержится чувствительный контент. Пожалуйста, повторите попытку"
23033,Выбрать категорию
23034,Выберите или создайте категорию
23035,Введите новое название категории
23036,Создать новую категорию
23037,Достигнут верхний предел
23038,"Ошибка данных. Пожалуйста, откройте магазин снова"
23039,Слишком длинное название
23040,Осталось
23041,Осталось @1 дней @2
23042,Мини баллы
23043,Цена Мини монет
23044,Цена Мини баллов
23045,Недостаточно Мини баллов. Перейдите на мобильную версию
23046,"Эта комната закрыта. Пожалуйста, вернитесь в лобби и выберите заново"
23200,@Null@
24000,@Null@
24001,@Null@
24002,@Null@
24003,@Null@
24100,@Null@
25000,Инфо о выборе зоны
25001,Длина:
25002,Ширина:
25003,Высота:
25004,Отмена выбора зоны
25005,Отменить конечную точку
25006,Кисть
25007,Заполнитель
25008,Масштабирование
25009,Полый
25010,Вставить
25011,Наслоить
25012,Заменить блок
25013,Заменяемый блок
25014,Текущий:
25015,Режим Кисти
25016,Режим выбора зоны
25017,Переключить на режим выбора зоны
25018,Переключить на режим кисти
25019,Выбрать блока наполнения
25020,Заполнить только полую часть
25021,Радиус:
25022,Куб
25023,Цилиндр
25024,Сфера
25025,Плоский четырехугольник
25026,Плоский круг
25027,Прямая между двумя пунктами
25028,Две точки образуют поверхность
25029,Режим оси X:
25030,Режим оси Y:
25031,Режим оси Z:
25032,Последовательность:
25033,Форма
25034,#c5aea0aЗаполняющая кисть
25035,#c5aea0aОчищающая кисть
25036,#c5aea0aЗаменяющая кисть
25037,#c5aea0aСглаживающая кисть
25038,Использовать блок #c5aea0aдля заполнения выбранной зоны#n
25039,#c5aea0aочищает блоки выбранной области#n
25040,#c5aea0aкопирует блоки выбранной области#n
25041,#c5aea0aвставляет копированные блоки выбранной области#n
25042,#c5aea0aперемецает блоки выбранной области#n
25043,#c5aea0aзаменяет блоки выбранной области#n
25044,#c5aea0aнаслаивает блоки выбранной области#n
25045,Переключено в #c5aea0a режим выбора области
25046,Переключено в #c5aea0a режим кисти
25047,Блоки выбранной области перемещены успешно
25048,#cffda0a @1 #n выбранной области изменен на #c5aea0a @2
25049,Текущая выбранная зона отменена
25050,Блоки выбранной области очищены в
25051,Успешно заполнено
25052,Успешно вставлено
25053,Успешно наслоено
25054,Выбранная зона успешно скопирована
25055,Успешно восстановлено
25056,Отменено успешно
25101,Открыть магазин разработчика
25102,"Ваш рюкзак заполнен, предметы сохранены в #Y Магазине разработчика - Складе#n"
25103,Покупка #Y@1#n успешна. Помещен в рюкзак
25104,"Вы пока не настроили товар. Пожалуйста, перейдите в магазин разработчика для настройки"
25200,Рекомендуемое избранное
25201,Рекомендации
25202,Загружается
25203,Ожидание
25204,Порядок по умолчанию
25205,По количеству загрузок
25206,По рейтингу
25207,По популярности
25208,По дате добавления в избранное
25209,По времени публикации
25210,@1 критиков рекомендуют
25211,"Ой, сбой сети"
25212,"Ой, не удалось загрузить"
25213,Обновили @1 новых карт
25214,Ошибка сети
25215,Больше
25216,Посмотреть все
25217,Шаблон
25218,Код
25219,Просмотреть код
25220,Ваши изменения не будут сохранены
25221,Развернуть еще
25222,Сложить
25223,Этот парень ленив и не оставил описания
25224,Карты
25225,Загрузки
25226,Популярность
25227,Время обновления
25228,Избранные
25229,Голосов
25230,Добавлен в избранное
25231,Проголосовавший
25232,Рейтинги
25233,Мультиплеер
25234,"Не удалось присоединиться. Нажмите значок справа, чтобы просмотреть статус онлайн многопользовательской комнаты"
25235,Только для обучения шаблона карты
25236,Купить лицензию шаблона карты
25237,Изображение обложки нарушило права
25238,Подписан
25239,0
25240,0
25241,0
25242,0
25243,0
25244,0
25245,0
25246,0
25247,0
25248,0
25249,0
25250,0
25251,0
25252,0
25253,0
25254,0
25255,0
25256,0
25257,0
25258,Загрузка ...
25259,Нравиться
25260,Не нравится
25261,Делиться
25262,"Соединение не удалось, пожалуйста, попробуйте еще раз"
25300,0
25301,Аватар по умолчанию
25400,Обычный эффект
25401,Специальный эффект
25402,Библиотека эффектов
25403,Внешний вид
25404,Эффект
25405,Атрибуты
25406,Редактировать статус
25407,Имя
25408,Описание
25409,Иконка
25410,Специальный эффект
25411,Звуковой эффект
25412,Демонстрация
25413,Продолжительность
25414,Непрерывный режим
25415,Неограничено
25416,Ограничено
25417,Время
25418,Режим состояния
25419,Позитивное состояние
25420,Негативное состояние
25421,Приоритет
25422,Перекрывать
25423,Сосуществовать
25424,Не исчезает после смерти
25425,сек.
25426,Добавить эффект
25427,Активная атака для очистки состояния
25428,Очистка состояния в случае ранения
25429,Тип скорости
25430,Изменить соотношение
25431,Скорость копания
25432,Тип наносимого урона
25433,Изменить значение
25434,Тип атрибута
25435,Временной интервал
25436,Тип получяемого урона
25437,Тип удачи
25438,Количество отразивших блоков
25439,Часть тела
25440,Выбрать модель
25441,Вид сзади при преобразовании
25442,Нельзя использовать предметы при преобразовании
25443,Окружающая среда
25444,Поглощение урона
25445,Тип атаки
25446,Количество блоков отброса
25447,Вероятность триггера
25448,Продолжительность состояния
25449,Тип защиты
25450,Урон при отражении атаки
25451,Изменить эффект
25452,"Несуммирующее: Когда получено то же самое состояние, предыдущее состояние будет перекрыто
Сумирующее: Когда будет получено то же самое состояние, оно будет сосуществовать с ранее полученным состоянием"
25453,Настройте тип своего состояния
25454,Нельзя изменить текущий эффект
25455,Добавочное состояние
25456,Изменить объем
25457,Многократное падение
25458,Библиотека статусов
25459,Тип выносливости
25460,Поведение персонажа
25461,Статус персонажа
25462,Лимит триггера
25463,Выпадение предмета
25464,Момент триггера
25465,Воспроизвести звук при завершении
25466,На перезарядке
25467,0
25468,0
25469,0
25470,0
25471,0
25472,0
25473,0
25474,0
25475,0
25476,0
25477,0
25478,0
25479,0
25480,0
25481,0
25482,0
25483,0
25484,0
25485,0
25486,0
25487,0
25488,0
25489,0
25490,0
25491,0
25492,0
25493,0
25494,0
25495,0
25496,0
25497,0
25498,0
25499,Описание редактора состояния
25500,"Описание панели выбора плагина состояния: 
#cfa7a0fВнешний вид: #nОтображение названия, описания, иконок, особых эффектов состояния можно изменить.
#cfa7a0fЭффект: #nЭффект состояния можно изменить. Одно состояние может иметь не более 5 эффектов. 
#cfa7a0fАтрибут#nУстановите непрерывный режим и параметры атрибута состояния.
#cfa7a0fЛокальный триггер:#n В отличие от инструмента разработчика, локальный триггер предназначен только для события, которое запускается этим плагином и предоставляет больше возможностей.
#cfa7a0fЛокальный скрипт: #В отличие от инструмента разработчика, локальный триггер предназначен только для события, которое запускается этим плагином
 P.S.:Если этот плагин использовал встроенные триггеры или скрипты, Вы можете нажать новый добавленный переключатель в правом верхнем углу панели параметров локального триггера или локального скрипта, чтобы вернуться к старым встроенным триггерам и скриптам для редактирования, но старая версия не поддерживает новый контент, пожалуйста, поймите."
25601,Иконка состояния
25602,Иконка умения
25603,Иконка действия
25604,Иконка эмоции
25605,0
25606,0
25607,0
25608,0
25609,0
25610,0
25750,Название карты
25751,Тип карты
25752,Введение в карту
25753,Рисунок на обложке
25754,Формат
25755,Размер
25756,Я согласен с #L#cfa7a0f пользовательским соглашением #n и #L#cfa7a0f уведомлением о выпуске контента #n
25757,"Пожалуйста, выберите тип карты"
25758,"Пожалуйста, введите описание карты"
25759,Пользовательская обложка
25760,Добавить еще
25761,"К сожалению, эта функция доступна только для пользователей разработчиков."
25762,"К сожалению, эта функция доступна только для разработчиков, уровень которых выше 2."
25763,"После того, как рисунок на обложке будет удален, рисунок на обложке будерт изменен на оригинальный скриншот игры. Вы уверены, что хотите удалить его?"
25764,Формат или размер изображения не соответствует требованиям загрузки
25765,"При выборе этого типа, карта переключится в игровой режиме."
25766,"При выборе этого типа, карта переключится в режим редактирования."
25767,Количество вводных изображений не может превышать @1
25768,Не синхронизировалось с облаком
25769,Переключить изображение на карте на обложку? Изображение на обложке по умолчанию будет удалено.
25770,Изменить изображение на обложке
25771,"Вы уверены, что хотите отменить загрузку?"
25772,Добавить тему
25773,Тема карты
25774,Выберите горячие темы
25775,"Пользовательские темы, введите до 30 символов"
25776,Добавить тему успеха
25777,"Карты, созданные после 1 июля, могут добавлять темы."
25778,Ожидает оценки
25779,"Участвуйте в Национальном фестивале творчества, чтобы выиграть награды"
25780,Никаких тем не было введено
25781,Загружается ...
25782,"Если тема не подтверждена, введите повторно"
25783,"Карта с темой не может храниться локально, пожалуйста, измените соответствующую информацию и загрузите"
25784,"Не удалось привязать тему. Убедитесь, что соответствующая информация указана правильно."
25785,"Нажмите, чтобы пойти в The Topic Gallery"
25798,Загрузка карты не удалась. Проверьте путь к файлу и название файла:
25799,"Текущий контент актуален, его не нужно загружать снова"
25800,Загрузка карты
25801,Загрузить
25802,Загрузить карту
25803,Сделать бэкап карты в облаке
25804,Публично
25805,Приватно
25806,Отменить загрузку
25807,Загружено
25808,"После успешного рассмотрения, ваша карта будет добавлена в Мини галерею. Она будет видна всем"
25809,Только сделать бэкап этой карты в облако. Он будет виден только Вам
25810,"Карта на рассмотрении, нельзя обновить и загрузить"
25811,В ожидании модификации
25812,"Это сохранение возможно содержит ненормативный контент. Пожалуйста, отредактируйте перед созданием онлайн комнаты"
25813,"Это сохранение возможно содержит ненормативный контент. Пожалуйста, отредактируйте перед загрузкой"
25814,Это сохранение содержит ненормативный контент и не может быть загружено. Попробуйте подать заявку на опровержение и обновите
25815,@Null@
25816,"Ложь - это ложь (если одно из двух булевых значений равно Ложь, то результат условия будет ложным)"
25817,"Правда - это правда (если одно из двух булевых значений равно Правда, то результат условия будет правдивым)"
25818,Логическая инверсия (результат противоположен входному Булеву)
25819,"Срок действия пароля этого UID истек. Пожалуйста, войдите в систему с последним паролем"
25820,（Совместная игра с друзьями）
25821,"Скоро откроется режим совместной игры с друзьями. Можно приглашать только друзей, другие не могут присоединиться! Кроме того, совместная игра с друзьями является приватной, она невидима для других"
25822,В режиме совместной игры с друзьями только друзья хоста могут присоединиться к игре
25823,"Если в комнате есть какие-либо нарушения, пожалуйста, сообщите об этом! Безопасная игровая среда нуждается в защите каждого!"
25824,На Вас поступили жалобы за незаконный контент в режиме совместной игры с друзьями. Вам запретили использовать эту функцию до @1
25825,Режим совместной игры с друзьями
25826,"Время Вашей дружбы должно превышать @1 для того, чтобы пригласить его в режим совместной игры с другом. Однако, в настоящее время время Вашей дружбы составляет @2, поэтому нельзя пригласить в комнату"
25827,"Время Вашей дружбы должно превышать#cef2d2d@1дн.#n,чтобы зайти в комнату друка. Однако в настоящее время время дружбы составляет только#cef2d2d@2дн.#n，#cef2d2dВременно нельзя присоединиться#n"
25828,Нельзя зайти в комнату. Обновите статус друзей
25830,0
25831,Автономный режим
25832,Вы не можете использовать данную функцию в режиме одиночной игры
25833,"Режим одиночной игры. Нажмите, чтобы переключить"
25834,Соединение прервано. Переключиться на режим одиночной игры?
25835,"Часть информации не сохранена. Пожалуйста, перезайдите в игру, когда она будет подключена к интернету"
25836,Хорошее соединение
25837,Нормальное соединение
25838,Нестабильное соединение
25839,"Состояние сети нестабильно. Возможны неполадки с игрой. Вы уверены, что хотите войти в онлайн комнату?"
25840,Состояние сети нестабильно. Возможны неполадки с игрой
25841,"Состояние сети нестабильно. Вы уверены, что хотите войти в онлайн комнату?"
25880,@Null@
26000,"Временно нет комнаты, к которой можно присоединиться. Попробуйте создать комнату самостоятельно"
26001,"Скачать карту, чтобы создать комнату"
26002,Версия не соответствует
26003,Быстрый матч
26004,Соответствие ...
26005,Никакой другой комнаты не было найдено. Попробуйте создать комнату!
26006,"Хост пошел кушать, комната закрыта ~"
26007,"Хост выгнал Вас из комнаты. Пожалуйста, посмотрите другие комнаты ~"
26008,Хост похищен инопланетянами. Посмотрите другие комнаты ~
26009,"Вы были оффлайн слишком долго, комната закрыта. Пожалуйста, создайте комнату еще раз"
26010,"Комната отключена. Пожалуйста, попробуйте подключить"
26011,Быстрое изменение комнаты
26012,Поменять карту
26013,"#cd9001bВы сегодня выгоняли более @1раз#r Чтобы поддерживать дружескую игровую среду, Вам не будут рекомендовать комнаты, если будете еще выгонять"
26014,Сервер закрыт. Давайте продолжим приключение в других комнатах ~
26015,"Вас @1 выгнал из текущего сервера. Пожалуйста, посмотрите другие комнаты ~"
26016,Командная игра
26017,Скопировать код приглашения
26018,Отправьте сообщение в чат с товарищем по команде
26019,"Объединяйтесь и выбирайте карту, чтобы играть в игры"
26020,Выбрать карту
26021,Рекомендуемая карта
26022,Капитан не выбрал карту
26023,Подготовить
26024,Команда сейчас в игре
26025,Перейти в мультиплеер
26026,"В настоящее время нет участников, перейдите в многопользовательскую игру, чтобы встретить больше друзей"
26027,Трансфер капитан
26028,Пнуть член
26029,Вы становитесь новым капитаном
26030,Вас выгнали из команды
26031,Подтвердите перевод капитана на player @1?
26032,Подтвердить кик игрока @1?
26033,Подтвердите выход из команды?
26034,Остаться
26035,Player @1 пригласил вас присоединиться к команде
26036,Больше не напоминать
26037,Команда заполнена
26038,"Код приглашения скопирован, вставьте его."
26039,Моя игровая библиотека
26040,"Капитан не загрузил карту, и ее нельзя было просмотреть."
26041,"Игра вот-вот начнется, вернись и готовься."
26042,Игнорировать
26043,Вернуться в команду
26044,"Подготовлено, игра начинается"
26045,"Формирует команду, не может войти в игру."
26046,"Есть товарищ по команде, который не готов, торопится и готовит всех товарищей по команде."
26047,"Поскольку у вас были прошлые нарушения, вы не можете присоединиться к командной игре."
26048,Друг
26049,Недавний
26050,Начать игру
26051,Персональный центр
26052,Отмена
26053,Подтверждать
26054,Пригласить друзей
26055,Моя игровая библиотека
26056,Создать новый мир
26057,онлайн
26058,Не в сети
26059,Формируем команду
26060,Вернуться в команду
26061,Отправлять
26062,"Нет участников, перейдите к multiplatyer"
26063,Узнай больше друзей
26064,Приглашать
26065,"Players @1 пригласили вас присоединиться к команде, скопируйте это сообщение и откройте Mini World, чтобы играть вместе! @2"
26066,"Не в команде, не могу работать"
26067,Отменить подготовку
26068,Больше не получать это напоминание в течение 5 минут
26069,Только капитан может использовать напоминание для подготовки функции.
26070,#cffdc0d Выбрать карту#n
26071,#c373632 Капитан еще не выбрал #r карту
26072,"Не выбрали карты, не могу запустить игру"
26073,"В настоящее время карты нет, создайте или загрузите ~"
26074,Выход из игры вернет команду на главную страницу ~
26075,Другие товарищи по команде все еще в игре. Подтвердите выход?
26076,Приглашение не прошло
26077,Капитан вышел из игры и закрыл комнату
26078,Присоединяйтесь к игре
26079,Игра загрузка
26080,"Капитан говорит вам подготовить, игра начнет сразу"
26081,Игра собирается начать
26082,Новый
26083,максимум игроков
26084,Разрешение
26085,Игровой режим
26086,Комната пароль
26087,Карта резервного копирования
26088,Заводить друзей
26089,Сотрудничать
26090,Конкуренция
26091,"Пожалуйста, введите пароль, состоящий из 4 цифр / букв"
26092,Посетители не могут уничтожить и размещать блоки
26093,"Нет карта пока, вы хотите создать новый?"
26094,"Пожалуйста, сначала скачайте карту"
26095,"Нет места для присоединения, вы можете создать комнату или попробовать еще раз"
26096,Команда приглашение всплывающее
26097,Карта не создана
26098,Недавно не играл на карту
26099,"Присоединяйтесь не удалось, попробуйте еще раз"
26100,Подключение к серверу было потеряно
26101,Раскачивать
26102,"Количество участников текущего события слишком высокое, пожалуйста, попробуйте позже позже"
26103,@Null@
26104,@Null@
26105,@Null@
26106,@Null@
26107,@Null@
26108,@Null@
26109,@Null@
26110,@Null@
26111,@Null@
26112,@Null@
26113,@Null@
26114,@Null@
26115,@Null@
28900,Загрузка не удалась
28901,Обновить снова
28902,Домашняя страница
28903,Рекомендация
28904,Типы
28905,Следующий
28906,Избранное
28907,Нравится
28908,Игра
28909,Друзья играют
28910,Загрузка...
28911,"Отпустите, чтобы обновить"
28912,"Прокрутите вниз, чтобы обновить"
28913,Получение данных...
28914,Обновленный
28915,"Проведите вверх, чтобы увидеть больше данных"
28916,Загрузка...
28917,"Отпустите, чтобы получить данные"
28918,Загрузка прошла успешно
28919,"Загрузка не удалась. Пожалуйста, попробуйте еще раз."
28920,недавно играл
28921,Играли вчера
28922,Играл @1 день назад
28923,играл неделю назад
28924,Только что играл
28925,Играли сегодня
28926,Пока нет записи игры~
28927,@1 человек играл
28928,Спорт
28929,Раса
28930,Темы пока нет~
28931,ГОРЯЧИЙ
28932,Лобби
29000,@Null@
29992,Вид сзади2
29993,Перехватить
29994,Преграждать
29995,Блок
29996,Пасс
29997,Бросить
29998,Рывок
29999,Правый клик: Преграждать/Бросить. Левый клик: Перехватить/Пасс. Пробел: Блок/Рывок
30000,Удалить карту
30001,Отменить загрузку
30002,Приостановить загрузку сохранения
30003,Отменить расшаривание
30004,Приостановить загрузку
30005,Обновить загрузку
30006,Видео сохранения
30007,"Стиль интерфейса переключен. Перезапустите игру, чтобы использовать"
30008,Список загрузок пуст. Найдите больше интересных карт в Мини галерее и онлайн-лобби
30009,Загружается
30010,Вид
30011,Соревнование
30012,"Нажмите Подтвердить, чтобы загрузить пакет ресурсов пользовательского интерфейса"
30013,"Не удалось загрузить пакет ресурсов пользовательского интерфейса, повторите попытку позже"
30014,Загрузка пакета ресурсов пользовательского интерфейса
30015,"Невозможно получить ресурсный файл. Пожалуйста, попробуйте позже"
30016,Гайд для новичков
30017,Чат всей комнаты забанен
30018,Спам: чат автоматически забанен
30019,Неограничено
30020,5 минут
30021,Весь чат комнаты забанен (Вкл): Не удается отправить сообщения
30022,Весь чат комнаты забанен (Выкл): Можно отправлять сообщения
30023,Хост забанил чат (@1)
30024,Хост отменил бан чата
30025,"Вы говорите так быстро, что вы автоматически забанены в чате (@1)"
30026,Хост забанил чат. Вы не можете отправлять сообщения
30027,"Чат всей комнаты забанен: Никто не может отправлять сообщения, кроме хоста"
30028,"Автоматический бан: Игроки, которые спамили больше 5 раз, будут забанены в чате на некоторое время"
30029,Чат забанен
30030,Отменить бан
30031,В порядке выкладывания в сеть
30032,В обратном порядке выкладывания в сеть
30033,Цена от высокой до низкой
30034,Цена от низкой до высокой
30035,Сначала мужской скин
30036,Сначала женский скин
30037,Загруженный дизайн интерфейса пользователя можно обновить #L#c03ddda (Скачать) #n#n
30038,Дизайн интерфейса пользователя можно обновить
30039,% Идет загрузка ресурсного пакета
30040,Загруженные ресурсные пакеты являются последними
30041,@Null@
30042,Пока нет скинов. Заходите и выберите себе что-нибудь
30043,Только во время фестиваля
30044,Только во время Китайского нового года
30045,Путешествие Дюймовочки и Блэйда
30046,Мини вселенная
30047,Милый зоопарк
30048,Волшебный замок
30049,Наука будущего
30050,Классика
30051,Невозможно найти соответствующий скин
30052,Итоговая цена:
30053,Лимит FPS
30054,Обновить
30055,Язык
30056,Посмотреть в Магазине
30057,Подарочный набор временно не в продаже
30058,Подарочный набор
30059,Ограничено
30060,Покупка ограничена @1 раз
30061,Покупка ограничена @1 раз в день
30062,Покупка ограничена @1 раз в неделю
30063,Покупка ограничена @1 раз в месяц
30064,За @1 день можно приобрести только @2 раз
30065,Обновляется через @1 дн.
30066,Обновляется через @1 ч.
30067,Снимется с полки через @1 дн.
30068,Снимется с полки через @1 ч.
30069,Лотерея
30070,Призы
30071,Крутить 1 раз
30072,Крутить 5 раз
30073,Больше
30074,Просмотр призов
30075,Магазин фрагментов
30076,Открыть скин
30077,Крутить еще 1 раз
30078,Крутить еще 5 раз
30079,Награды помещены на склад
30080,Поздравляем! Игрок @1 получает @2
30081,Имеется:
30082,"Вы уверены, что хотите обменять @1?"
30083,Потратить количество фрагментов: @1
30084,"Поздравляем! Получен @1, перейди в магазин скинов, чтобы использовать"
30085,"Правила:
1. Используя 20 Мини монет, можно сыграть 1 раз. Используя 100 Мини монет, можно сыграть 5 раз. Огромный шанс получить постоянные скины, фрагменты скинов и другие редкие награды, призовой фонд будет периодически обновляться.
2. Обменивайте фрагменты скинов в магазине фрагментов на постоянные скины и другие редкие награды, призовой фонд будет периодически обновляться.
3. Вы не сможете получить скин, который у Вас уже есть (постоянный).
4. Права на проведение данного ивента принадлежат команде Мини мира"
30086,Уровень:
30087,"Недостаточно фрагментов. Пожалуйста, присоединитесь к событию, чтобы получить больше."
30088,Постоянный
30089,3 дня
30090,7 дней
30091,Ограниченный по времени
30092,@1 шт.
30093,"Перезапустите игру, чтобы получить"
30094,Ваш склад заполнен. Подарочный набор будет отправлен Вам на почту. Получите вовремя (письмо может храниться 30 дней)
30095,Спасибо за покупку подарочного набора. Ваш склад заполнен. Очистите склад и попробуйте получить снова (письмо может храниться 30 дней).
30096,"Правила:
1. У Вас есть шанс получить постоянные, однодневные скины и их фрагменты. Призовой фонд будет обновляться.
2. Обменивайте фрагменты на скины в магазине.
3. Вы не сможете получить скин, который у Вас уже есть.
4. Права на проведение данного события принадлежат команде Мини мира"
30097,Не удалось сыграть. Попробуйте позже
30098,"Вы хотите просмотреть рекламу, чтобы получить дополнительные награды? Это единственный шанс!"
30099,Получите дополнительные награды
30100,Время обновления：#c7daa0a@1#n
30101,1 День
30102,7 Дней
30103,@1
30104,Скин
30105,Заказ
30106,Маунт
30107,Персонаж
30108,Предмет
30109,Померить
30110,Снять
30111,Справка
30112,Оставшееся количество раз на сегодня: #c0aaa1a@1/@2#n
30113,"Недостаточно Мини баллов. Пожалуйста, просмотрите рекламу, чтобы получить Мини баллы"
30114,Подсказки
30115,"Вы уверены, что хотите потратить @1 Мини баллов, чтобы приобрести следующие предметы?"
30116,"Просмотрите рекламу, чтобы получить Мини баллы. Обменивайте их на фантастические скины и предметы. Вы также можете обменивать предметы на картах разработчика!"
30117,"Что такое Мини баллы? Выполняйте задачи в Мини мире, чтобы получать Мини баллы. Обменивайте их на фантастические скины и предметы. Вы также можете приобретать предметы в магазинах на картах разработчика! Как получить Мини баллы? Просмотрите рекламу, чтобы получить Мини баллы. Количество Мини баллов может варьироваться время от времени"
30118,"Просмотрите рекламу, чтобы получить Мини баллы. Обменивайте их на фантастические скины и предметы."
30119,"Что такое Мини баллы? Выполняйте задачи в Мини Мире, чтобы получать Мини баллы. Обменивайте их на фантастические скины и предметы. Вы также можете приобретать предметы в магазинах на картах разработчика! Как получить Мини баллы? Просмотрите рекламу, чтобы получить Мини баллы. Количество Мини баллов может варьироваться время от времени"
30120,Вы просмотрели достаточно реклам сегодня. Возвращайтесь завтра!
30121,#Cef2d2dКоличество возможно просматриваемых реклам будет обновляться каждый день #n
30122,Просмотреть рекламу
30123,Недостаточно Мини баллов
30124,Просмотреть больше
30125,Бонусный магазин
30126,Бонусный розыгрыш
30127,"Просмотреть рекламу. Получайте больше Мини баллов, чтобы участвовать в розыгрыше."
30128,Потреблять
30129,Просмотреть рекламу. Получайте больше Мини баллов
30130,Награда
30131,Старт
30132,Бесплатно
30133,Успешно просмотрена реклама и получены Мини баллы. Перейдите в магазин Мини баллов для просмотра.
30134,"Чтобы обеспечить лучшую игровую службу, включите запрос приложения для данных"
30135,Не показывать больше
30136,Недостаточные билеты
30140,@Null@
30150,@Null@
30151,Подарить
30152,Введите UID/имя для поиска друзей
30153,Этот игрок не найден
