id,法语
30019,Illimité
30020,5 minutes
30021,chat room toute interdite (On): Ne peut pas envoyer des messages
30022,chat salle entière interdit (Off): peut envoyer des messages
30023,Les interdictions d'accueil t'chat（@1）
30024,Ban le chat est annulé.
30025,Vous parlez si vite que vous êtes automatiquement interdit discutiez （@1）
30026,Les interdictions d'accueil bavardant. Impossible d'envoyer des messages.
30027,chat salle entière interdit: Personne ne peut envoyer un message à l'exception hôte.
30028,Chat en direct interdit automatiquement: Les joueurs qui parasitent plus de 5 fois seront interdits bavarder pendant un certain temps.
30029,chat interdit
30030,annuler interdiction
30031,Le dernier
30032,Le plus tôt
30033,Très cher
30034,Prix ​​le plus bas
30035,priorité Homme
30036,priorité Femme
30037,ressources de l'interface utilisateur mise à jour #L#c03ddda (Télécharger) #n#n
30038,% UI style a des mises à jour de
30039,%s téléchargement pack de ressources
30040,Le pack de ressources est téléchargé la dernière version
30041,@Null@
30042,Pas encore avatars. Venez choisir quelques-uns.
30043,festival Seulement
30044,Nouvel An lunaire seulement
30045,Le trajet de Xiaolou et Jinyi
30046,Mini univers
30047,Zoo mignon
30048,Château magique
30049,future science
30050,Classique
30051,Aucun résultat pour un avatar correspondant
30052,Prix ​​total:
30053,FPS Limite
30054,Update
30055,Langue
30056,Arrivée Boutique
30057,La page du pack cadeau est en cours de chargement
30058,Paquet cadeau
30059,Limité
30060,Limited a acheté @1 fois
30061,Limited a acheté @1 fois par jour
30062,Limited a acheté @1 semaine de temps
30063,Limited a acheté @1 fois par mois
30064,achat limitée @2 @temps chaque 1 jour
30065,Actualisez après @1 jours
30066,Actualisez après: 1 heure
30067,Enlever au large du plateau après @1 jours
30068,Enlever au large du plateau après: 1 heure
30069,Gashapon
30070,Prix
30071,Dessiner 1 fois
30072,Dessiner 5 fois
30073,Plus
30074,Aperçu Prix
30075,Shard Boutique
30076,peau Unlock
30077,Piochez 1 plus de temps
30078,Dessiner 5 fois
30079,Les prix sont déjà mis en pack
30080,lecteur Félicitation @1 reçoit @2
30081,appartenant à:
30082,Êtes-vous sûr de racheter @1?
30083,Consommez des tessons: @1
30084,Félicitation! Vous avez @1. S'il vous plaît utiliser en magasin
30085,"Règles:
1. Consommez 20 pièces de mini pour tirer une fois. 100 mini pièces pour 5 fois. Avoir la chance de réclamer la peau permanente, des tessons de la peau et de la peau pendant des jours. Les prix seront mis à jour périodiquement.
2. Encaisser la peau avec des tessons de la peau dans Shard Shop. La boutique Shard sera mis à jour périodiquement.
3. Vous ne serez pas la peau que vous avez déjà eu.
4. Le droit d'interpréter l'événement appartient à Mini officiel du monde."
30086,Niveau:
30087,tessons insuffisantes. S'il vous plaît se joindre à l'événement pour obtenir
30088,Permanent
30089,3 jours
30090,7 jours
30091,Limité
30092,@1
30093,Redémarrez le jeu à la revendication
30094,Votre Pack est pleine. Le Paquet cadeau sera envoyé à votre courrier. S'il vous plaît réclamation dans le temps (Le courrier sera conservé pendant 30 jours)
30095,Merci d'avoir acheté Paquet cadeau. Votre Pack est pleine. S'il vous plaît nettoyer votre pack et réclamer à nouveau (Le courrier sera conservé pendant 30 jours)
30096,"Règles:
1. Ce jeu Gashapon a la chance de réclamer la peau permanente, des tessons de la peau et de la peau pendant des jours. Les prix seront mis à jour périodiquement.
2. Encaisser la peau avec des tessons de la peau dans Shard Shop. La boutique Shard sera mis à jour périodiquement.
3. Vous ne serez pas la peau que vous avez déjà eu.
4. Le droit d'interpréter l'événement appartient à Mini officiel du monde."
30097,Dessiner échoué. Veuillez réessayer plus tard
30098,Voulez-vous regarder annonces à recevoir des récompenses supplémentaires? Ceci est la seule chance!
30099,Recevoir des récompenses supplémentaires
30100,Temps de rafraîchissement: @1
30101,Un jour
30102,7 jours
30103,@1
30104,Peau
30105,Avatar
30106,Monter
30107,Personnage
30108,Article
30109,Essayer
30110,Décollage
30111,Mini points Shop Aide
30112,temps restant aujourd'hui: #c0aaa1a @1/@2 #n
30113,Points insuffisantes Mini. S'il vous plaît montre annonce
30114,Conseils
30115,Etes-vous sûr de consommer @1 Points Mini pour acheter des articles suivants?
30116,Regarder publicité pour obtenir des points Mini. Échangez vos fantastiques et peaux articles. Vous pouvez également échanger des articles dans les cartes de développement!
30117,"Quels sont les mini-points?
Effectuer des tâches dans le Mini World pour obtenir des mini-points. Vous pouvez échanger des objets dans la Mini Point Shop ou les cartes de développeurs.
Comment obtenir des mini-points?
Regardez des publicités pour obtenir des mini-points. Le nombre de mini-points que vous obtenez peut varier de temps à autre.
"
30118,Regarder publicité pour obtenir des points Mini. Échangez vos fantastiques et peaux articles.
30119,"Quels sont les mini-points?
Terminez des tâches dans le Mini World pour obtenir des mini-points. Vous pouvez échanger des objets avec des mini-points dans la boutique de bonus.
Comment obtenir des mini-points?
Regardez des publicités pour obtenir des mini-points. La quantité de mini-points que vous obtenez peut varier de temps à autre.
"
30120,Vous avez assez annonces regardiez. S'il vous plaît revenez demain!
30121,#Publicité cef2d2dThe sera mise à jour tous les jours #n
30122,Regarder l'annonce
30123,Points Mini insuffisant
30124,Parcourir plus
30125,Bonus magasin
30126,Bonus tombola
30127,Regarder annonce pour obtenir plus de points Mini à participer à la tombola.
30128,Dépensé
30129,Regarder annonce pour obtenir plus de points Mini
30130,Récompense
30131,Allez-y
30132,Libre
30133,"Avec succès et reçus annonce regardé Points Mini, s'il vous plaît aller à la boutique pour vérifier"
30134,"Pour fournir un meilleur service de jeu, veuillez allumer la demande d'application pour les données."
30135,Ne pas montrer ça à nouveau
30136,Billets insuffisants
30140,@Null@
30150,@Null@
30151,Envoyer
30152,Entrez UID/nom pour rechercher des amis
30153,Pas de résultat
30154,Vous pouvez envoyer des cadeaux lorsque le niveau de jardin est supérieur à#cfa7a0f3#n et que vous avez été des amis pour les jours#cfa7a0f5#n
30155,Votre ami ne peut recevoir des dons quand son/son niveau de jardin est supérieur à 3
30156,Ne peut recevoir des cadeaux lorsque vous avez été amis pendant plus de 5 jours
30157,Ne peut envoyer que des cadeaux lorsque le niveau de fruit de jardin est supérieur à 3
30158,Choisissez la bénédiction
30159,À partir de 1
30160,Confirmer
30161,Bonne journée!
30162,Espoir nous pouvons être de bons amis pour toujours!
30163,Joyeuses vacances! Bonne journée!
30164,Vous coûtera#c0aaa1aMini Coins ×@1#n à acheter#cfa7a0f @#2 n. Veuillez confirmer
30165,@1 Confirmer
30166,pièces mini-insuffisantes. S'il vous plaît haut en premier (Les mini pièces doués ne peuvent pas être utilisés pour envoyer des cadeaux à des amis)
30167,Envoyé succès. envoyer cadeau ...
30168,cadeau reçu
30169,Recevoir le don de@1 (@2):@3. Bénédiction:@4
30170,Période de validité: Permanent
30171,S'il vous plaît prendre peau puis cliquez sur Envoyer
30172,Vous ne pouvez envoyer des avatars qui achetés par des pièces mini-
30173,"Liste:
Prix ​​total: pièces de monnaie#c0aaa1aMini × @#1 n
#cfa7a0f @#2 n pièces#c0aaa1aMini × 3 @#n
#cfa7a0f @#4 n pièces#c0aaa1aMini × @#5 n
"
30174,"S'il vous plaît lier votre compte, envoyer des cadeaux"
30175,Envoyer maximum 20 cadeaux par jour
30176,Ne peut envoyer des cadeaux max 5 fois au même joueur par jour
30177,Vous ne pouvez envoyer des cadeaux lorsque vous annulez l'avatar qui est obtenu dans les événements
30178,"Parmi le montant complémentaire que vous avez sélectionné, la part des mini-pièces douées ne peut pas être utilisé pour envoyer des avatars et peaux. Continuer?"
30179,#L #c0aaa1aClick pour vérifier le Top-up #Avis #n
30180,"1. Première recharge double (1,99 $ pour recharger 100 mini-pièces et obtenir 200 mini-pièces au total. 5,99 $ pour recharger 300 mini-pièces et obtenir 600 mini-pièces au total). Le bonus Mini Coin ne peut pas être utilisé pour envoyer des avatars ou des skins à des amis.
2. Ne croyez pas que des étrangers qui prétendent être le service client vous demandent votre compte et votre mot de passe. Ne transférez pas d'argent à un non-officiel."
30181,Top-up
30182,Top-up Avis
30183,"Toutes les récompenses ont été envoyés à votre entrepôt, si l'entrepôt est plein, les récompenses seront envoyés par la poste."
30184,Demander
30185,Demande de peau
30186,Demande WECHAT / QQ
30187,Ajout d'un ami pour @1 jours avant de pouvoir envoyer requst
30188,Choisir un message
30189,"L'anniversaire n'est célébré qu'une fois par an, je me demande si je recevrai des cadeaux @1"
30190,"De mauvaise humeur, demande urgente pour un @1 de me rendre heureux> _ <"
30191,Ce ne sera-ce pas génial d'avoir un @1 pendant cette saison de fête!
30192,"Votre meilleur ami souhaite avoir un @1, merci!"
30193,Succès envoyé!
30194,Votre demande a été envoyée avec succès à #cfa7a0f@1#n
30195,"Réseau AdNormal, veuillez réessayer plus tard"
30196,Rejeter et supprimer
30197,Procéder au cadeau
30198,Cher #cfa7a0f@1#n #r@2
30199,"Désolé, votre demande à #cfa7a0f@1#n pour #cfa7a0f@2#nskin a été rejetée, pourquoi n'essayez-vous pas de demander à quelqu'un d'autre ?"
30200,Votre demande de peau a été rejetée
30201,Ajouter un ami avant de pouvoir faire une demande
30202,Tesson
30203,Remise
30204,Publicité
30205,Appoint la revendication peau exclusive - @1! (Chaque joueur ne peut prétendre une fois!)
30206,Liste des articles
30207,#Cfa7a0f @1 - Non appartenant #n
30208,@1 - Propriété
30209,Encore besoin @1 tessons de racheter cet objet. Êtes-vous sûr de continuer?
30210,@1 billet Gashapon
30211,5 billets Gashapon
30212,billet cadeau x1
30213,billet d'Gashapon insuffisant. Est-ce que l'achat automatique
30214,achat @1
30215,Post-scriptum Vous pouvez utiliser un billet de Gashapon pour attirer Shop. Avoir la chance d'obtenir la peau!
30216,@1 billet d'activité
30217,10 billets d'activité
30218,billet 1 Fruit
30219,Envoyer acticity ticketx1
30220,billet d'activité insuffisante. Est-ce que l'achat automatique
30221,Post-scriptum Vous pouvez utiliser un billet d'activité pour se joindre à l'activité dans le jardin. Avoir la chance d'obtenir la peau!
30222,Achat de pétard (Envoyer #cffda0agashapon ticket #n)
30223,Achat de pétard (Envoyer #cffda0aactivity ticket #n)
30224,Achat succès! @1 déjà dans le pack. Envoyer @2
30225,@Null@
30226,Gashapon seulement
30227,seulement échanger
30228,Gashapon & Redeem
30229,Vous avez déjà possédé cette peau. Ne peut pas racheter
30230,Vous avez déjà possédé cette avatar. Ne peut pas racheter
30231,L'opération a échoué. Veuillez réessayer plus tard
30232,rédempteur de l'article a échoué. S'il vous plaît contacter le Mini Monde officiel: miniworldcustomerservice@gmail.com
30233,Point reveiving a échoué. S'il vous plaît contacter le Mini Monde officiel: miniworldcustomerservice@gmail.com
30250,Votre image sera effacée. Continuer? Conseils: Vous pouvez sauvegarder votre match sur un autre emplacement
30251,Votre image actuelle sera couvert par les avatars que vous sélectionnez. S'il vous plaît sauvegarder d'abord.
30252,Avatar Carte Privilège
30253,Vous pouvez utiliser la plupart des avatars librement pendant 30 jours. Vigueur immédiatement après l'achat
30254,@1 jour
30255,Vous avez possédiez Carte Privilège Avatar. La plupart des avatars peuvent être utilisés librement pendant 30 jours. Vous pouvez enregistrer le pansement ou acheter des avatars permanents.
30256,Carte Privilège Avatar exclusif
30257,Votre avatar carte privilège expirera bientôt. Vos avatars n'appartenant seront effacés. Voulez-vous renouveler?
30258,Renouveler
30259,sauvegarder
30260,Achat réussi. Maintenant correspondre à vos propres avatars!
30261,"Vous avez déjà doué cette peau à @1, s'il vous plaît ne le redonnez pas."
30262,La peau a été donnée à @1 par courrier. Il peut y avoir un retard dans le courrier. Vous pouvez rappeler à votre ami de vérifier après vous être connecté.
30270,Liste des articles
30271,#cfa7a0f @1——Non appartenant #n
30272,@1——Déjà propriété
30273,@1 tessons sont encore nécessaires avant d'échanger ce point. Etes-vous sûr de vouloir continuer à tirer la Gashapon?
30274,Confirmer
30275,Veuillez sélectionner la quantité d'achat
30276,Appartenant à
30277,"Déjà possédé, ne répétez pas l'achat ~"
30278,Demander la peau @1
30279,Payé par un ami
30280,Scannez le code QR pour payer:
30281,Lien de partage
30282,Enregistrer l'image
30283,Rappel: Les utilisateurs payants applicables ont plus de 18 ans
30284,Partager à Wechat
30285,Partager à QQ
30286,La capture d'écran de code QR a été enregistrée dans l'album
30287,Link copié sur la carte de pâte
30288,"Cher mon pote, Scannez le code QR et envoyez-moi une peau @1"
30289,Demande quotidienne limite @1 fois
30290,Vous pouvez seulement demander au même joueur @1 fois par jour
30291,Demande de peau
30292,Le montant de la demande mensuelle a atteint la limite supérieure
30293,Doué
30294,Ne peut accepter les demandes de cet ami pour @1days
30295,Du mystère ami
30296,Recevez le cadeau @1 demandé à un ami!
30297,La capture d'écran du code QR a été enregistrée sur le bureau
30298,"1. La tâche sera actualisée après la fin du compte à rebours de récompense et la progression de la tâche actuelle sera également effacée. Les récompenses non réclamées ne pourront plus être obtenues à nouveau. N'oubliez pas de collecter les récompenses de la tâche dans le temps ~
2. Les tâches sont divisées en tâches de consommation de mini-points et en visualisant les tâches de publicité. N'oubliez pas de comprendre les conditions de la tâche avant de les compléter!"
30299,Le mini captain vous rappelle: la limite de montant en recharge de nom réel a été atteinte
30300,@Null@
30301,@Null@
30302,Limite de recharge ce mois-ci: @1 / @2
30303,La recharge est sur le point d'atteindre la limite supérieure
30304,"Votre recharge Ce mois-ci atteindra la limite supérieure, veuillez sélectionner une autre vitesse à recharger."
30305,Demander mini pièces de monnaie
30306,Partagez à vos amis pour aider à topup
30307,Quantité de demande
30308,Demander
30309,Reçu mini pièces
30310,Les monnaies de @1 données par des amis sont arrivées
30311,De mini officiel
30312,Envoyez-moi des mini-monnaies me rendra heureux de jouer.
30313,L'une des choses les plus heureuses est de recevoir la mini-monnaie que vous m'avez envoyée.
30314,"Vous n'avez pas besoin de beaucoup de mini-monnaie, juste être satisfait."
30315,"Une fois le paiement réussi, veuillez consulter le courrier électronique."
30316,"Cher partenaire, balayez le code QR, envoyez-moi #cfa7a0f @1 mini pièces de monnaie"
30350,@Null@
30351,Impossible de convertir. S'il vous plaît choisir une position à plat
30352,Impossible de convertir. Il y a déjà une créature à la position cible
30353,Impossible de convertir dans l'air ou l'eau. S'il vous plaît choisir une position sur le terrain
30354,L'autorisation de conversion est rappelé
30355,Annuler la conversion
30356,Retour au calme. S'il vous plaît essayer de nouveau après @1 seconde
30357,Vous devez annuler la peau en cours
30358,la peau convertie a été rappelé
30400,@Null@
30500,@Null@
30501,Exiger @1 pour déverrouiller la peau @2. Achat #c0AAA1A @3 (permanent) #n?
30502,Cadeau moi une peau @1 et nous sommes toujours de bons amis
30503,Recevoir la peau @1 de votre part est la chose la plus heureuse pour moi
30504,J'aime vraiment ça @1 peau. Pouvez-vous me le faire offrir?
30505,Demande de paiement des amis
30506,Payez @1
30507,"Cher partenaire, Scannez le code QR, envoyez-moi @1"
30508,Envoyez-moi une passe de saison et jouez joyeusement ensemble.
30509,L'une des choses les plus heureuses est de recevoir le passe de saison de votre part.
30510,"Pas grand chose dont il faut, envoyez-moi un laissez-passer de saison et je suis satisfait."
30511,Vous devez avoir la peau @1 pour déverrouiller @2. Voulez-vous aller au gashaapon pour obtenir #c0aaa1a@3 (permanent) #n?
30512,Aller à gachapon
30600,@Null@
30601,Erreur de paramètre
30602,Impossible d'obtenir la configuration
30603,Échec de la suppression des accessoires de peinture en aérosol
30604,Vous avez déjà un autocollant permanent
30605,Période de validité anormale
30606,Échec de la compensation utilisant des accessoires de peinture de pulvérisation
30607,Impossible d'acheter de la peinture en aérosol en consommant des mini pièces de monnaie
30608,Échec de calcul de la période de validité
30609,Pas dans la période d'achat
30610,N'a pas de modèle de peinture de pulvérisation
30611,Sélection de modèle
30612,Modèle actuel
30613,Pulvériser les accessoires
30614,"Ne pas encore avoir de pulvérisation, allez le choisir"
30615,"Instructions de jeu de peinture en aérosol

1. Les boîtes de peinture de pulvérisation peuvent être déplacées vers la barre de propagation à utiliser dans la barre d'équipement de l'interface de caractères dans le jeu et les accessoires remplacés par les canettes de peinture de pulvérisation seront automatiquement déplacés vers le sac à dos.
2. Le modèle acheté peut être utilisé directement dans la carte du jeu.
3. Le modèle de peinture de pulvérisation disparaîtra automatiquement après une certaine période de temps dans la carte du jeu."
30616,Taille du motif @1 * @2
30617,Le contenu affiché avec succès dans le centre commercial en utilisant des accessoires
30618,Obtenez de nouvelles peintures en aérosol: @1
30619,Utilisez des accessoires de peinture en aérosol pour compenser avec succès
30620,Modèle actuel
30621,Motifs utilisés
30622,L'opération est trop rapide
30623,Vous avez déjà une bombe de peinture dans le sac à dos
30700,@Null@
30701,Membre exclusif du membre
30702,Obtenir de l'événement
30750,@Null@
31000,@Null@
31001,Mon groupe
31002,@1 / @2 en ligne
31003,Sélectionnez Groupe Avatar
31004,Personnage
31005,Peau
31006,Créature
31007,Hôte
31008,Membre du groupe
31009,Liste d'invitation ajouté avec succès
31010,Êtes-vous sûr de quitter le groupe?
31011,invitation du groupe: @1 (@2 membres)
31012,Inviter: @1 (@2)
31013,Hôte: @1 (@2)
31014,L'hôte vous retiré du groupe#cfa7a0f@1
31015,L'hôte a dissous le groupe#cfa7a0f@1
31016,Entrez automatiquement le groupe
31017,invitation du groupe est envoyé. S'il vous plaît attendre la réponse.
31018,Vous avez rejoint trop de groupes. Incapable de joindre.
31019,Le groupe est plein. Incapable de joindre.
31020,Vous invitez @1 à rejoindre le groupe
31021,@1 vous invite à rejoindre le groupe
31022,Les joueurs actuels du groupe: @1
31023,Joueur @1 est retiré du groupe par l'hôte
31024,Joueur @1 est interdit de bavarder par l'hôte
31025,@1 membres au total
31026,Épingle
31027,Post-it
31028,Vous faites trop vite. S'il vous plaît reposer
31029,Nom de groupe
31030,Ouvrez l'option d'accepter toute l'invitation du groupe. Êtes-vous sûr d'ouvrir?
31031,Vous rapporté à plusieurs reprises récemment. Ne peut pas discuter dans le groupe. S'il vous plaît contacter l'hôte.
31032,Vous rapporté à plusieurs reprises récemment et en cours d'examen. Ne peut pas discuter dans le groupe.
31033,Vous rapporté à plusieurs reprises récemment. Ne peut pas discuter dans le groupe jusqu'à ce que @1.
31034,Goupillé annulé.
31035,L'hôte change le nom du groupe à @1
31036,Êtes-vous sûr de transférer le groupe?
31037,Vous avez été rapporté trop de fois. Impossible de créer un groupe.
31038,Joueur @1 quitte le groupe
31039,Êtes-vous sûr de lancer ce joueur hors du groupe?
31040,joint avec succès
31041,ivitation a refusé
31042,Vous êtes déjà dans ce groupe
31043,"Aucun groupe encore. S'il vous plaît créer ou rejoindre un groupe, puis à partager."
31044,la demande expire
31045,Annonce de la libération de contenu
31046,"Veuillez ne pas publier ni diffuser d'informations qui viole les règles dans le jeu. Les contrevenants seront sévèrement traités.
Le contenu de violation inclut mais ne se limite pas à--
1. Informations personnelles de confidentialité: telles que le mot de passe de compte, le vrai nom, etc.
2. Incorporer des informations: telles que les achats de recharge, les téléchargements de liaison, etc.
3. Informations sociales: telles que les plates-formes sociales, les informations de contact, les liens de site Web, etc.
4. Contenu qui viole les lois et règlements nationaux:
 (1) violer les principes de base établis par la Constitution;
 (2) mettre fin à la sécurité nationale, aux fuites de secrets d'État, à la subvertir du pouvoir de l'État et à saper l'unité nationale;
 (3) Dommages à l'honneur national et aux intérêts;
 (4) Incitant la haine ethnique de la haine, la discrimination ethnique et la sape l'unité ethnique;
 (5) saper les politiques religieuses de l'État et promouvoir les cultes et les superstitions féodales;
 (6) répandant des rumeurs, une ordonnance sociale troublante et saper la stabilité sociale;
 (7) propager des obscénités, de la pornographie, du jeu, de la violence, de la terreur ou de l'instigation du crime;
 (8) insulter ou calmer les autres, enfreignant les droits légaux et les intérêts des autres;
 (9) Incitation d'assemblées illégales, d'associations, de processions, de démonstrations, de collecte de foules pour perturber l'ordre social;
 (10) agir au nom d'une organisation civile illégale;
 (11) Ceux qui ne se conforment pas aux «dispositions intérimaires sur le développement et la gestion des services d'information publique pour des outils de messagerie instantanée» et se conforment aux exigences «sept lignes finales» des lois et règlements, le système socialiste, les intérêts nationaux, le droit intérêts des citoyens, de l'ordre public, de la moralité sociale et de l'authenticité de l'information, etc.;
 (12) contenant d'autres contenus interdits par la législation et la réglementation administrative.
5. Autre contenu qui ne respecte pas les lois, les réglementations et les exigences de la plate-forme"
31047,"Ne pas diffuser ni publier des informations qui enfreint les règles au sein du groupe, y compris mais non limitées.
Informations personnelles sur la vie privée, violence et terrorisme, informations pornographiques et politiques, informations sur les médias sociaux, informations sur l'induction de la consommation et autres contenus qui ne répondent pas aux exigences des lois, des règlements et des plates-formes."
31048,#c3D4546I have agreed to ceate a Group
31049,Confirmer et Créer
31050,"S'il vous plaît ne pas diffuser des informations illégales telles que la vie privée, le contenu violent, pornographie, et l'incitation à la consommation dans le groupe"
31051,#L#c49463F S'il vous plaît ne postez pas de contenu illégal et de diffuser des informations inappropriées
31052,Le groupe a été rejeté. Impossible de faire fonctionner
31053,Vous n'êtes pas dans le groupe. Opération invalide
31100,"Mini capitaine recommande d'utiliser la méthode de saisie de #cFF723A SOGOU #n, en discutant avec vos amis! #r aller à #cFF723A ""Méthode de langue et d'entrée"" #n pour commencer"
31101,Entendu
31102,Guide de vue
32000,@Null@
32001,"Cher lecteur, vous recevrez @1 revenus par regarder la publicité. Êtes-vous sûr de jouer?"
32002,"Cher lecteur, l'acquisition de données de la publicité a échoué. Veuillez réessayer."
32003,"Cher lecteur, Le nombre de vues pour votre annonce aujourd'hui a atteint la limite supérieure. S'il vous plaît essayer à nouveau demain."
32004,"Cher lecteur, la publicité ne supporte que la version mobile."
32005,@Null@
32006,Instruction de fente archive
32007,"#cfa7a0fHow pour étendre la fente archives? #n
Vous pouvez étendre votre emplacement archives par la mise à niveau de jardin, vérifié en tant que développeur ou l'achat des archives. fentes d'archives obtenues par la mise à niveau de jardin ne seront pas ajoutés aux téléchargements Archive et téléchargés archive d'enregistrements.
 
 #cfa7a0fCurrent Archives fente Obtenue par Récompense #n
 fente de récompense du jardin: #c0aaa1a@1#n
 slot Récompense du développeur:  #c0aaa1a@2#n
 fente de récompense d'achat archive: #c0aaa1a@3#n"
32008,Aller au jardin
32009,Vérification du développeur
32010,Acheter
32011,Confirmez l'achat
32012,Purchase Save Slot
32013,"numéro d'archive actuel: @1
Numéro d'archive après l'achat: @2"
32014,Confirmer
32015,#cfa7a0fMy #n changements d'archives:
32016,Mien
32017,Télécharger
32018,fente Archive a atteint la limite supérieure!
32019,Une fente archive déverrouillé
32020,Le nombre de créneaux horaires a atteint la limite supérieure. S'il vous plaît acheter ou débloquer plus
32021,@Null@
32022,@Null@
32023,@Null@
32024,@Null@
32025,@Null@
32026,non téléchargé
32027,Téléchargé
32028,Téléchargé
32029,L'histoire
32030,Plans
32031,Développer
32032,Détails
32033,Donnés
32034,Commentaire
32035,Date de création:
32036,Téléchargé
32037,Révision
32038,revérifier
32039,Pour modifier
32040,Enregistré
32041,Illégal
32042,Bloqué
32043,Partager
32044,Télécharger
32045,Mettre à jour
32046,Télécharger
32047,Hier de nouveau
32048,Taux actuel
32049,Donnés
32050,Somme
32051,Téléchargements
32052,Les critiques recommandent
32053,commentaires
32054,fait un don
32055,Favoris
32056,Date jusqu'à 1
32057,carte d'état
32058,#C0AAFFFReviewing #n
32059,#C0AAFFFRechecking #n
32060,#CFA7A0FTo modifier #n
32061,#CFF3D2BIllegal #n
32062,#CFF3D2BBlocked #n
32063,La carte est en cours d'examen. Il sera affiché dans la galerie après avoir passé l'examen.
32064,Contenu illégal dans le jeu. S'il vous plaît modifier et de télécharger à nouveau.
32065,La carte qui a passé la revue sera rechecked.It sera affiché dans la galerie après le passage du revérifier.
32066,"Contenu illégal sur la carte. La carte ne sera pas disponible, et les comptes avec de multiples violations seront interdits."
32067,Contenu illégal sur la carte. La carte ne sera pas disponible.
32068,Cliquez sur Plus pour télécharger votre première carte dans la galerie!
32069,La carte que vous avez pas joué
32070,Fantastique
32071,valeur de popularité
32072,Brancher
32073,But
32074,La personne
32075,@Null@
32076,@Null@
32077,@Null@
32078,N/A
32099,@Null@
32100,@Null@
32101,"Cher lecteur, la mise à jour est en cours de préparation. Taille du fichier: #cfa7a0f  @#n 1Mo. Veuillez confirmer. (Nous vous recommandons de mise à jour sous WI-FI)"
32102,Le téléchargement de nouveaux fichiers. S'il vous plaît garder votre Internet connecté
32103,La progression du téléchargement: #cfa7a0f  @1%
32104,Il n'y a pas assez d'espace de stockage sur votre téléphone pour terminer la mise à jour. S'il vous plaît nettoyer l'espace de stockage et d'essayer à nouveau.
32105,Cette fonction ne peut pas être utilisé dans la salle multi-joueurs.
32106,Seul le créateur de la carte peut utiliser cette fonction
32107,Renommé à: @1
32108,"Hack détecté , s’il vous plaît arrêter le jeu de piratage et de relance, ou votre compte peut être enlevé par ET!"
32109,"S'il vous plaît comporter bien ici. Si vous violez plusieurs fois les règles, votre compte sera bloqué."
32110,Réglage échoué. Mot de passe Le texte doit être 8-12 caractères.
32111,"Réglage échoué. S'il vous plaît utiliser au moins deux combinaisons (lettres, chiffres ou symboles en anglais)"
32112,"Pour la sécurité de votre compte, il est conseillé de mettre à jour votre mot de passe régulièrement dans le cas où votre compte est perdu"
32113,S'il vous plaît lier votre e-mail au compte avant de changer le mot de passe
32114,"Format de mot de passe pris en charge:
1. Nombre de caractères: 8-12 de bits
2. Les lettres d'entrée soutien (majuscules et minuscules), chiffres, symboles anglais. S'il vous plaît choisir au moins deux combinaisons
3. Ne pas utiliser des espaces, des caractères chinois ou des symboles spéciaux"
32115,"Pris en charge le format de mot de passe de texte:
1. Nombre de caractères: 8-15 bits (un caractère chinois prend 3 bits)
2. Prend en charge l'entrée des lettres, des chiffres, des caractères chinois et des signes de ponctuation"
32116,S'il vous plaît sélectionner au moins 2 types de combinaisons de caractères - numéro / lettre / symbole
32117,Mot de passe trop court ou erreur de combinaison. S'il vous plaît réinitialiser
32118,Mot de passe Force: #cda5b0aMid
32119,Mot de passe Force: #c0aaa0fHigh
32120,Mot de passe trop court
32121,Changer le mot de passe
32122,#LSwitch à la vérification cellulaire
32123,#LSwitch à la vérification E-mail
32124,"Réglage échoué. Espace, caractères chinois ou des symboles spéciaux ne peuvent pas être utilisés comme mot de passe"
32125,Ce compte est lié à un numéro de téléphone mobile
32126,Ce compte n'est pas lié à la boîte aux lettres
32127,S'identifier
32150,@Null@
32151,@Null@
32152,@Null@
32153,@Null@
32154,@Null@
32155,@Null@
32156,@Null@
32157,@Null@
32158,@Null@
32159,@Null@
32160,@Null@
32161,@Null@
32162,@Null@
32163,@Null@
32164,@Null@
32165,@Null@
32166,@Null@
32167,@Null@
32168,@Null@
32169,@Null@
32170,"Désolé, votre connexion Facebook a expiré, s'il vous plaît re-connexion"
32210,@Null@
32211,@Null@
32212,@Null@
32213,"La version est trop faible, s'il vous plaît télécharger la dernière version."
32214,"Une nouvelle version est détectée, s'il vous plaît aller à @1 pour télécharger le jeu."
32215,"Une nouvelle version du jeu est détecté, il est suggéré de télécharger via le réseau Wi-Fi,"
32216,Taille du patch: @1M
32217,"Téléchargé @1Mo. @2, nous essayons de mettre à jour. S'il vous plaît attendre avec patience"
32218,Erreur réseau s'il vous plaît vérifier le réseau et essayer de mettre à jour
32219,Déballer la ressource ... @1%
32220,Chargement ... @1%
32221,"Le téléchargement a échoué, s'il vous plaît mettre à jour le jeu."
32222,"Décompression a échoué, s'il vous plaît redémarrer le jeu."
32223,"stockage insuffisant, s'il vous plaît effacer l'espace."
32224,"La mise à jour est terminée, s'il vous plaît redémarrer le jeu."
32250,@Null@
32251,Vrai nom
32252,Revenir
32253,un événement
32254,La piste étoile
32255,"[Galerie des ressources] Vous pouvez importer les modèles, plug-ins et d'autres ressources de jeu dans le jeu."
32256,@Null@
32260,@Null@
32300,@Null@
32301,lapin Rose
32350,@Null@
32500,@Null@
32501,@Null@
32502,Concours
32503,Bonus
32504,Chaud!
32505,Xiaolou
32506,Vivre
32507,Nouvelles
32508,Carte
32509,Produit
32510,Prime
32511,Limite
32512,Maintenir
