id,印尼语
20306,Gagal download
20307,Hasil download telah tersimpan di album
20308,Ambil Skin
20309,Sedang ditinjau
20310,Melanggar peraturan
20311,Skin ini terdeteksi melanggar peraturan. Hapus?
20312,Hanya tersedia di versi mobile
20313,Bagikan custom skin setelah berhasil ditinjau
20314,Mini Star Runway (Ambil foto drawing card)
20315,Mini Star Runway (Foto sesuai bagian)
20316,No card?
20317,Unit:cm
20318,"Sesuai dgn tips ukuran, gambar DIY skin di kertas kosong dan warnai dgn pensil warna. #L#cfa7a0f Cek tutorial lengkap#n"
20319,#cffda0aKepala#nGambar
20320,Badan#cffda0aDepan#nGambar
20321,Badan#cffda0aBelakang#nGambar
20322,Foto sesuai step dan sesuai bingkai yang disediakan. Foto 3 step utk membuat skin DIY.
20323,Foto Drawing Card
20324,Foto sesuai step  
20325,Foto juga sesuai bingkai yang disediakan
20326,Scan barcode
20327,Mundur
20328,Tidak ada preview
20329,Preview kepala
20330,Preview Depan
20331,Kepala
20332,Depan
20333,Belakang
20334,Preview selesai
20335,Skin DIY akan di review sekarang (dapat dilihat pada multiplayer)
20336,Masukan juga barcode didalam bingkai kamera
20337,Upload
20338,instruksi Upload
20339,"#cfa7a0fPreparation sebelum meng-upload #n
Ambil kartu gambar resmi, dan menyelesaikan Anda bekerja dalam menggambar daerah.
  
  #cfa7a0fHow untuk meng-upload? #n
  Klik Upload. Cari kartu menggambar dan klik.
  #cef2d2dNotice: Ukuran kartu gambar upload harus sama dengan versi resmi (Standard A4). #n
  
  #cfa7a0fPreview dan Simpan #n
  Setelah upload, pekerjaan Anda akan ditampilkan dalam mengedit antarmuka Mini Star Skin.
  Upload setelah menyimpan. Ketika itu akan disetujui, dapat dilihat di kamar multiplayer."
20340,upload ulang
20341,"Pemberitahuan: Jika model yang dihasilkan salah, pastikan bahwa ukuran dan arah yang benar. Periksa #L#cfa7a0fUpload instruksi #n)"
20342,Tidak dapat digunakan. Konten belum ditinjau. Harap upload untuk ditinjau.
20343,Tidak dapat digunakan. Konten sedang ditinjau.
20344,Tidak dapat digunakan dan edit. Konten tidak memenuhi syarat.
20345,Star Emote
20346,Star Emote
20347,Skin Star
20348,Skin Star
20349,Workshop
20350,Segera hadir
20351,Pengaturan
20352,Efek Dinamis
20353,Tampilan Star Emote
20354,Pilih skin
20355,Pilih gerakan
20356,#cffffffTampilkan gerakan di depan kamera belakang#n
20357,#cffffffRekam #cfa7a0f@1#ngerakan#n
20358,#cffffffGanti ke gerakan @1#n
20359,#cffffffMulai rekam#n
20360,Durasi rekaman (5 dtk)
20361,Pengelolaan model (@1/3)
20362,Perkenalan Star Emote
20363,"Star Emote mencocokkan gerakan pemain ke model melalui bagian tulang. Pemain hanya perlu menunjukkan tubuh pemain di depan kamera, dan model dapat menyamai gerakan pemain secara langsung.
Pemain juga dapat merekam dan menyimpan gerakan."
20364,Selamat datang di Star Runaway! Kamu dapat mencoba berbagai teknologi tinggi yang dapat menyambungkan Mini World dengan dunia nyata. Buat imajinasimu menjadi kenyataan!
20365,[Star Emote]
20366,Rekaman single
20367,Rekaman double
20368,Model akan berputar saat merekam gerakan kamu!
20369,Tutorial
20370,#LMasih bingung?#n
20371,#cef2d2dPerhatian: Harap memperhatikan sekitar kamu saat menggunakan fitur ini.#n
20372,Telepon harus tegak lurus dengan tanah
20373,Jarak 1-2 meter
20374,Aplikasi gerakan
20375,Bantuan
20376,"#cfa7a0fApa itu aplikasi gerakan?#n
Kamu dapat menggunakan aplikasi gerakan untuk mengganti gerakan model.
Pemain menggunakan dan masuk ke game. Gerakan termasuk berdiri, lari, berbaring, menyerang, mati, terserang akan diganti.

#cfa7a0fSkin yang mendukung aplikasi gerakan#n
Custom skin @1 (Skin lain akan tersedia di versi berikutnya)"
20377,Kombinasi gerakan (Aplikasi gerakan)
20378,Nama Gerakan
20379,#cffffff@1@2#nAtur sebagai #cfa7a0f@3#n gerakan
20380,Berhasil disimpan
20381,Berhasil disimpan. Buka galeri sumber.
20382,Gerakan dasar
20383,Emotikon
20384,Simpan sebagai
20385,#L#cffffffSumber
20386,Atur satu gerakan untuk menyimpan
20387,Nama sumber (kombinasi gerakan)
20388,Figur Standard
20389,Figur Biasa
20390,Gerakan dapat digunakan di star emote
20391,Kombinasi gerakan akan disimpan di pusat sumber. Gerakan default tidak akan disimpan di kombinasi gerakan.
20392,Kamu dapat menyimpan kombinasi gerakan di pusat sumber
20393,#L#cfa7a0fSimpan kombinasi gerakan
20394,Buat figur standard
20395,Muat gerakan
20396,Simpan gerakan
20397,Gerakan #cfa7a0f@1#n akan disimpan di pusat sumber.
20398,Galeri Model
20399,Galeri Gerakan
20400,Gerakan Map
20401,Sumber gerakan: File @1/@2
20402,Sumber model: File @1/@2
20403,Keterangan sumber
20404,Nama
20405,Jenis sumber
20406,Tag gerakan
20407,UID
20408,Ukuran file
20409,Jenis model
20410,Figur Umum
20411,Kombinasi
20412,Single
20413,Balok Miniatur
20414,Kombinasi Miniatur
20415,Item miniatur
20416,Makhluk miniatur
20417,Model custom
20418,Yakin ingin menggunakan #c0aaa1a@1×@2#n untuk membuka #cfa7a0f@3#n slot?#r
20419,Kepala
20420,Leher
20421,Badan
20422,Perut
20423,Pinggul
20424,Tulang akar
20425,Bahu 
20426,Bahu kanan
20427,Lengan kanan
20428,Tangan kanan
20429,Telapak tangan kanan
20430,Bahu kiri
20431,Lengan kiri
20432,Tangan kiri
20433,Telapak tangan kiri
20434,Paha kanan
20435,Betis kanan
20436,Kaki kanan
20437,Paha kiri
20438,Betis kiri
20439,Kaki kiri
20440,Tidak dapat melihat#rSumber belum di-download
20441,Tidak mendukung modifikasi
20442,Putar kepala
20443,Berputar
20444,Pegang pinggang
20445,Angkat kaki
20446,Buka animasi
20447,Beri nama gerakan
20448,"Max 100 frame. 0,1 frame/dtk"
20449,Figur manusia
20450,Edit figur manusia. Tidak dapat mengganti parameter tulang.
20451,Gagal menyimpan. Tidak ada modifikasi.
20452,Berhasil memuat
20453,Gagal memuat
20454,Skin tidak mendukung aplikasi gerakan
20455,Umum
20456,Gerakan Official
20457,Gerakan Custom
20458,Gerakan Star Emote
20459,Data gerakan kosong. Tidak dapat menyimpan kombinasi gerakan.
20460,Gerakan default. Tidak dapat menyimpan kombinasi gerakan.
20461,Jumlah file gerakan mencapai limit.
20462,Yakin ingin menghapus aplikasi gerakan?
20463,Tidak dapat edit gerakan official
20464,Kontrol Perpindahan
20465,Hanya dapat mengatur perpindahan
20466,Tulang ini tidak mendukung edit model
20467,Telepon kamu tidak mendukung fitur ini
20468,Perhatian: Kamu hanya dapat upload 5 kali sehari
20469,Kamu telah upload lebih dari 5 kali. Harap mencoba kembali besok.
20470,Berpose sekarang! Aku akan mengikuti kamu.
20471,"Klik tombol rekam. Countdown 3,2,1 GO!"
20472,Pose berikut akan direkam!
20473,Rekaman selesai. Mari kita lihat!
20474,"Setelah disimpan, kamu dapat menggunakannya!"
20475,@Null@
20476,Gerakan akan ditinjau. Gerakan akan ditampilkan setelah lulus tinjauan.
20477,Star emote | Apa itu?
20478,Star emote | Bagaimana cara memakainya?
20479,Star emote | Apa yang bisa dilakukan?
20480,Putar
20481,Suka
20482,Malu
20483,Canggung
20484,Pusing
20485,Selamat datang di Start Dance. Mari kita mulai dengan tutorial berikut ini.
20486,Tutorial berakhir
20487,Upload gagal. File tidak ditemukan. (Harap memilih gerakkan lain)
20488,(Dapat ditampilkan secara online setelah lulus tinjauan)
20489,@Null@
20500,Gagal mengambil gambar
20501,@Null@
20502,@Null@
20503,@Null@
20508,@Null@
20509,Harap menunggu
20510,Post
20511,Masukkan gambar
20512,Manajemen post
20513,Kumpulkan
20514,Status Teman
20515,Status saya
20516,Balasan terbaru
20517,Edit
20518,Update status
20519,"Klik untuk memasukan konten, max 15 huruf"
20520,Data diri
20521,Channel prioritas
20522,Ijinkan utk berkomentar
20523,Status
20524,Peta
20525,Status
20526,Album
20527,Setting tersimpan
20528,Sembunyikan
20529,Tampilkan
20530,Pin up
20531,Rekomendasi
20532,Edit kalimat rekomendasi di channel peta
20533,Belum ada kalimat rekomendasi
20534,Channel peta
20535,Popularitas
20536,Pusat Tampilan
20537,"- Fungsi Profil Pribadi diperbarui! #r #r 1. Tambahkan pusat tampilan, kamu dapat merekomendasikan konten game favorit kamu di ruang Anda sendiri. #r #r 2. Tambahkan suasana hati pribadi untuk memperbarui teks suasana hati kamu kapan saja. #r #r 3. Tambahkan sistem popularitas, nilai orang = teman * 10 + penggemar + jumlah unduhan peta + poin status keterlibatan. #r #r 4. Tambahkan kunci gambar yang dapat Anda kunci gambar profil pribadi kamu dan tidak berubah sesuai dengan kulit yang kamu gunakan. #r #r 5. Tambahkan sistem pembaruan status sehingga kamu dapat mempublikasikan status waktu nyata ke teman dan penggemar untuk berbagi cerita menarik dalam game. #r #r 6. Sistem medali baru, kamu dapat menyelesaikan pencapaian permainan untuk mendapatkan medali keren."
20538,Sistem kunci tidak aktif
20539,"Tampilan peta ini kosong, share sekarang"
20540,Tidak ada tampilan peta
20541,"Klik utk memasukan konten, max 100 huruf"
20542,Tidak dapat kunci non permanent DIY skin
20543,Pemain ini telah di blokir
20544,Sistem kunci aktif (terkunci)
20545,"Kamu sudah like foto ini hari ini, silakan datang lagi besok"
20546,Jumlah like
20547,Lainnya
20548,#b#cffda0aOrisinil
20549,Dari statusku
20550,Dari status teman
20551,Status Following
20552,Sdg diproses
20553,Lolos review
20554,Review gagal
20555,Pribadi
20556,Terhapus
20557,Pin Up
20558,Tutup komentar
20559,Sembunyikan
20560,Hapus
20561,Gagal post
20562,Masukan konten
20563,Gagal komentar
20564,Gagal terima status
20565,Gagal hapus status
20566,Balas 
20567,Gagal pin up
20568,Bolehkan komen
20569,Batalkan
20570,Semua
20571,Teman
20572,Pengikut + Teman
20573,Tidak tersedia
20574,Diri Sendiri
20575,Izin Komentar Status
20576,Izin Lihat Status
20577,Pin up
20578,Batalkan Pin up
20579,Komentar ditutup
20580,Komentar dibuka
20581,Sembunyikan
20582,Batalkan  
20583,Terhapus
20584,Jangan pin up status yang disembunyikan
20585,Pemain ini telah menutup sistem komentar
20586,Pemain ini telah mengatur izin komentar
20587," menit yang lalu"
20588," jam  yang lalu"
20589,Status kosong
20590,Komentar kosong
20591,Berhasil diposting! Akan terlihat setelah ditinjau.
20592,Tidak ada pop-up invitations dlm 5 mnt
20593,Badge
20594,Skor
20595,Pakai
20596,Pemain ini tdk menerima hadiah prestasi
20597,Selamat! Prestasi baru berhasil di unlock
20598,Skor skrg
20599,@1 skor prestasi
20600,@1
20601,@1 mendali telah dipakai. Lihat sekarang juga!
20602,Batal pakai @1 mendali
20603,Tugas selesai! Silakan ambil hadiahnya!
20604,Hadiah
20605,Belum selesai
20606,Horee! Aku berhasil unlock @1 prestasi baru loh!
20607,Syarat unlock :
20608,Share
20609,Balas 
20610,Grup
20611,Grup @1
20612,Ke
20613,Kata kasar
20614,Kata kasar
20615,Kick
20616,Pindahkan
20617,Bolehkan undang teman
20618,Undang teman grup
20619,"Grup kosong, undang teman dulu gih!"
20620,Grup detail
20621,Chat teman
20622,"Kamu telah di banned, tidak bisa mengirim pesan"
20623,Batalkan
20624,Tak ada teman yg dapat diundang
20625,Berhasil transfer
20626,Gagal pakai badge
20627,Hanya tuan rumah yang punya izin ini
20628,Group chat ini akan hilang jika tuan rumah keluar. Jadikan pemain lain utk jadi tuan rumah atau admin group utk jaga-jaga. Yakin utk keluar sekarang?
20629,@1 telah diblokir utk join group chat ini
20630,Gagal undang
20631,Izinkan mengundang group chat
20632,Member penuh
20633,"Terlalu banyak group chat, hapus salah satu utk buat group chat baru"
20634,Group chat berhasil dibuat. Member : @1
20635,@2 mengundang @1 masuk ke group
20636,Udangan berhasil dikirim
20637,Quit
20638,Bubar
20639,"Belum ada group chat. Ayo, chat sama teman-temanmu sekarang!"
20640,Buat group
20641,Komentarmu di group telah banyak dilapokan oleh pemain lain. Kamu tidak bisa menggunakan fungsi chat lagi. Hubungi tuan rumah utk membatalkan laporan banned.
20642,Komentarmu di group telah banyak dilapokan oleh pemain lain. Kamu tidak bisa menggunakan fungsi chat lagi. Silakan tunggu hingga @1 dan coba lagi
20643,Member penuh
20644,"Timeout, silakan coba lagi"
20645,@1 adalah tuan rumah
20646,Pemain ini sdh ada digroup
20647,"Dilaporkan lebih dari @1 x perhati, dilarang cancel komentar"
20648,Bagi siapa yang membuat konten yang berhubungan dengan kekerasan akan mendapat hukuman
20649,Kurang @1 utk upgrade badge
20650,Sudah sampai max level
20651,Dari favorit
20652,Dibuat dari profil-ku
20653,Status
20654,Karyaku
20655,Favorit
20656,Map
20657,Favorit
20658,Dilarang pin peta yang di sembunyikan
20659,Dilarang hide peta yang di pin
20660,@2 direkomendasi oleh: @1
20661,Scan barcode dan tambahkan aku sebagai temanmu
20662,Barcode
20663,@Null@
20664,Nama tidak tersedia. Masukkan ulang.
20665,Berhasil memberi komentar! Akan terlihat setelah ditinjau.
20666,Berhasil diatur! Akan terlihat setelah ditinjau.
20667,Berhasil diposting!
20668,Nama sedang ditinjau. Harap lihat halaman profil.
20669,(Sedang ditinjau)
20670,Nama sedang ditinjau.Tidak dapat mengganti nama.
20671,@Null@
20700,@Null@
20994,Hadiah Mini School
20995,Selamat! Kamu hebat banget! Jangan lupa ambil hadiahmu tepat waktu ya!
20996,@Null@
20997,@Null@
20998,@Null@
20999,@Null@
21000,Selamat Hari Natal
21001,Selamat atas kemenangan yang kamu raih di lottere Natal. Ambil segera hadiahnya sebelum kadaluarsa.
21002,@Null@
21003,@Null@
21004,Bonusmu belum diambil. Ambil dulu gih baru hapus pesannya!
21005,@Null@
21006,@Null@
21007,Selamat Hari Paskah
21008,Selamat! Berikut adalah daftar hadiah yang kamu dapatkan pada event Paskah. Ambil segera!
21009,Notifikasi Hadiah
21010,"Terima kasih atas partisipasi dan dukunganmu di event Mini Garena ini. Untuk mengambil hadiah, silakan klik tombol [claim] dibawah ini dan masuk ke halaman pengambilan hadiah, kemudian klik ambil."
21011,Happy Summer Lucky Gifts
21012,"Selamat! Kamu mendapatkan summer gift pack, silakan claim hadiahmu di inbox game sebelum kadaluarsa. Hadiah berlimpah menunggumu!"
21013,"Halo Minivers, kamu telah berhasil membeli Server Mini. Buka [Multiplayer - Saya] untuk mengatur room. Untuk pengaturan lebih lanjut, harap klik tombol di bawah. "
21030,Pengajuan Izin
21031,Mini World membutuhkan akses mikrofon untuk menggunakan fiur voice chat di Mini World
21050,@Null@
21051,"Game hanya adalah dunia virtual, dilarang meniru perilaku yang ada di game."
21052,"Game hanya adalah dunia virtual, dilarang meniru perilaku yang ada di game."
21053,"Game hanya adalah dunia virtual, dilarang meniru perilaku yang ada di game."
21054,"Game hanya adalah dunia virtual, dilarang meniru perilaku yang ada di game."
21055,"Game hanya adalah dunia virtual, dilarang meniru perilaku yang ada di game."
21056,@Null@
21057,@Null@
21058,@Null@
21059,Hanya gunakan Situs Web Resmi yang diakui dan waspadalah terhadap situs web palsu dan jangan masuk.
21060,"Hanya berkomunikasi dengan saluran Layanan Pelanggan Resmi yang diakui, waspadalah terhadap scammer dan jangan melakukan transfer dana apa pun."
21061,@Null@
21062,@Null@
21063,@Null@
21064,@Null@
21065,@Null@
21066,@Null@
21067,@Null@
21068,@Null@
21069,@Null@
21070,@Null@
21099,@Null@
21100,Pemancar signal merah
21101,Pemancar signal biru
21102,Pemancar signal hijau
21103,Pemancar signal kuning
21104,Pemancar signal orange
21105,Penerima signal ungu
21106,Penerima signal merah
21107,Penerima signal biru
21108,Penerima signal hijau
21109,Penerima signal kuning
21110,Penerima signal orange
21111,Penerima signal ungu
21112,Analist merah
21113,Analist biru
21114,Analist hijau
21115,Analist kuning
21116,Analist orange
21117,Analist ungu
21118,Pemancar signal
21119,Penerima signal
21120,Alat analis
21121,Poin spawn publik
21122,Team 1 : poin respawn team merah
21123,Team 2 : poin respawn team biru
21124,Team 3 : poin respawn team hijau
21125,Team 4 : poin respawn team kuning
21126,Team 5 : poin respawn team orange
21127,Team 6 : poin respawn team ungu
21128,Tempat bangkit awal
21129,Team 1 : Tempat bangkit team merah
21130,Team 2 : Tempat bangkit team biru
21131,Team 3 : Tempat bangkit team hijau
21132,Team 4 : Tempat bangkit team kuning
21133,Team 5 : Tempat bangkit team orange
21134,Team 6 : Tempat bangkit team ungu
21135,peta saat ini tidak tersedia. Tidak bisa digunakan di toko peta.
21136,Toko Peta terkunci. Silahkan hubungi penulis untuk memperbarui toko
21137,jenis produk disimpan melebihi batas. tidak dapat disimpan.
21138,harga produk melebihi terbatas. tidak dapat disimpan.
21139,Tidak dapat menggunakan sampai tingkat taman mencapai @1.
21140,Peta tidak diunggah. Tidak dapat menyimpan toko.
21200,Blok Mob Generator
21201,Mengaturan jumlah
21202,Jumlah mob perkalinya
21203,Jumlah maksimal
21204,Batas area
21205,Batas ketinggian
21206,Batas jarak
21207,Jarak yg dihasilkan 
21208,Jumlah deteksi
21209,Deteksi dimulai. Blok mob generatr akan mendeteksi jumlah mob yang dihasilkan.
21210,"Jumlah mob terbatas. Jika jumlah mob melebihi batas, block mob generator otomatis akan berhenti atau tidak akan menghasilkan mob lagi."
21211,Klaim semua
21212,Attachment:
21213,Klaim semua hadiah?
21214,Bahan makanan
21215,Bahan bangunan
21216,Perabotan
21217,Dekorasi
21218,Spesial
21219,Alas
21220,Material
21226,"Arsip kosong, klik tombol dibawah ini utk membuat peta baru"
21227,Waktu pembelian terbatas
21228,Kamu belum menambahkan plugin apapun
21229,Yakin ingin menghapus custom skin?
21230,Model Avatar
21231,Blm ada nama
21232,NEW!
21486,@Null@
21487,Terdpt item terlarang didlm tas. 【#cff3d2b@1#n】 tdk dapat ditransfer
21488,Tdak ada item yg pass. 【#cff3d2b@1#n】 @2 tdk dapat ditransfer
21489,Team ini tdk memenuhi persyaratan utk mentransfer
21490,Titik transfer 【#cff3d2b@1#n】 blm aktif. Tdk dapat mentransfer.
21491,Pilih tujuan transfer
21492,Kamu telah sampai. 【#cff3d2b@1#n】
21493,Peraturan blm tersimpan. Yakin utk tutup?
21494,Transfer gagal!
21495,Rute transfer telah ditambahkan
21496,Penambahan rute transfer gagal
21497,Tidak ada tujuan transfer yg tersedia
21498,Tidak ada team yg lolos
21499,Nama ini sudah terpakai
21500,SetTitikMulai
21501,#LNotif sampai
21502,#LTitik transfer blm aktif
21503,Passable:
21504,Terpakai:
21505,Brg terlarang:
21506,PassableTeam:
21507,Status:
21508,Tambahkan tujuan transfer
21509,Edit titik transfer
21510,Detail
21511,Ringkasan
21512,Pilih tujuan
21513,Tdk perlu
21514,Tdk terbatas
21515,Peraturan
21516,Pemeriksaan Team
21517,#LPemeriksaan Check
21518,Passing Team
21519,Pemeriksaan Barang
21520,#L Passing barang
21521,#L Dilarang passing barang
21522,Yakin utk hapus transfer line ini?
21523,Titik transfer
21524,Klik utk edit pesan
21525,Pemelihan item
21526,Pakai atau tdk
21527,Transfer
21528,Notifikasi utk sampainya titik transfer
21529,"
Setelah dihidupkan, tampilkan semua titik transfer yang diaktifkan non-energi saat memilih titik transfer, matikan untuk menyembunyikan titik transfer yang tidak diaktifkan energi."
21530,"Setelah dihidupkan, hanya tim yang ditetapkan yang dapat menggunakan titik transfer. Matikan semua tim agar dpt lulus"
21531,"Setelah dinyalakan, hanya alat peraga yang dipasang di ransel yang dapat melewati titik transfer."
21532,"
Setelah dinyalakan, alat peraga terlarang di tas ransel tidak dapat melewati titik transfer."
21533,@Null@
21534,@Null@
21535,@Null@
21536,@Null@
21537,@Null@
21538,@Null@
21539,@Null@
21540,@Null@
21541,@Null@
21542,@Null@
21543,@Null@
21544,@Null@
21545,@Null@
21546,@Null@
21547,@Null@
21548,@Null@
21549,@Null@
21550,@Null@
21551,@Null@
21552,@Null@
21553,@Null@
21554,@Null@
21555,@Null@
21556,Nama:
21557,@Null@
21558,@Null@
21559,@Null@
21560,@Null@
21561,Event Official
21562,大山的琴声
21563,"孩子们在烈日下排起了整齐的长队。他们看起来很腼腆，眼睛里闪着喜悦的光。来自各地的爱心礼物纷纷被急切的孩子们打开，很快操场上便此起彼伏地响起了稚嫩的口琴声，空气中伴随着风声传来了欣喜的气息。
  以志愿者的身份来到这片土地之前，我一直想象不到自己与这里的孩子们生活环境如此截然不同。这里的人们凭借着自己的双手努力生活着，孩子们红扑扑的脸上也写满了坚定。
  在一片琴声笑声中，有个光着脑袋的小男孩跑过来对我轻声说了句“谢谢”。他咧着嘴告诉我，他想好好念书，长大后去更远的地方，看看外面的世界。我看着他的双眼，身体的疲惫也烟消云散。像他这样的小孩有很多，我可能无法帮助到他们中的大多数人，但只要能让一个孩子露出笑容，一切努力都值得了。"
21564,彩色的自白
21565,我是一个“魔法师”。我能用自己的身体，涂抹出世界上最鲜艳美丽的色彩。我的出生，伴随着许多人爱心的凝聚。这些互不相识的人们，送来了许许多多像我一样的小伙伴。我们来到这里的使命，就是奉献出他们的一片热忱。  有一天，我和我的小伙伴们都被放进了一个精致的“小房子”里，经历了万里旅途，来到了遥远陌生的山区。在这里，我们被陈列在一群衣着朴素，眼睛里却有着星光的孩子们面前。很快，我有了新朋友，一位扎着马尾辫的、脸上红扑扑的小女孩。她牵着我的手，在白纸上描绘出了我见过最好看的画作。小女孩看着我，再看看自己的作品，开心地笑了起来。  在这个瞬间，我才意识到，她的笑容才是世界上最美的色彩。
21566,小小的异世界旅人
21567,"一年前，我家附近来了位陌生的朋友。它身材小小的，身体深深地扎进砂土里。我每天都会去原野里看他。它告诉我，它来自另一个世界，那里有很多跟它一样的兄弟姐妹们，与它一起旅行到了这里。
  很快，它的兄弟姐妹们也来了，小小的绿色脑袋站满了整片土地。我对它们的世界很好奇，每次过来都会问很多的问题。它们给我讲了好多奇妙生物的传说，我也跟它们讲了很多的故事，关于我、关于朋友、关于我生活的这片土地。它们会留在这里，一起让这里变得更加生机勃勃。
  看着它们一天天地长高，我心里特别高兴。它们说自己很快就能比我还高了。哼，我也在长高，才不会输给它们呢。"
21568,梦境中的华尔兹
21569,今天的梦，是一个开心的梦。在梦中，我跳起了最爱的舞，周围绽放了漫山遍野的粉红色樱花，散发着迷人的香味。我很喜欢这里，因为这儿有我的梦。  我喜欢跳舞，喜欢舞蹈时自由自在的感觉。可我却没有一双属于自己的舞鞋，直到我遇见了一群美丽的大哥哥大姐姐。  哥哥姐姐们来自很遥远的地方，他们给我们带来了希望。看着大家脸上洋溢的笑容，我仿佛也找寻到了希望。  “我想当舞蹈家！”，我坚定地看着哥哥姐姐们。  有一个大哥哥走过来摸了摸我的头。  “哥哥帮你实现这个愿望！”说完，他便递给了我一双红色的舞鞋。  我太开心了。双手捧过鞋子的时候，我感觉离梦境中的自己越来越近了。  我的希望，我的梦想，我的未来，我来了。
21570,星星的笑脸
21571,今天是一个美妙的夜晚，大山寂静地沉睡着，只有树林里传来轻轻的鸟叫声。我抬起头看着天空，看到了天上的点点繁星，它们仿佛在对着我微笑，这让我不禁想起来那群人。  听老师说，有一群从很遥远的地方来的大哥哥大姐姐，给我们带来我们需要的东西。我高兴极了。他们就像天上的星星一样，带着笑脸，给需要帮助的人们带来希望。  一颗星星的力量，是微不足道的，可是漫天的星星，却拥有巨大的能量。  我希望我长大了也能成为像他们一样的人，就像天上的星星一般，带着笑容的力量，一直闪耀下去。
21572,我最喜欢的东西
21573,"奶奶总说我把废纸浪费了
 留着还能擦鼻涕呢
 哼，其实我是要把他们变成我最喜欢的东西
 全都保护起来
 千纸鹤
 大飞机
 长钢琴
 小帆船
 还有两三颗星星
 但它们好久都没再新增成员了
 好像是奶奶把所有的废纸都藏起来了吧"
21574,迷梭梭与安吉洛斯 Ⅰ
21575,"清晰地记得她当时说“在来到阿拉善之前，我从未看过如此湛蓝的天空，也未看过晚上八九点还不下山的太阳，更从未见过一望无际的黄土与荒漠……”然后我好奇地问她外面的世界长什么样的？我听着她将外面世界的美好娓娓道来……
  后来我们一起在这片荒芜中挖坑，种上一株一株梭梭树，并在树林中立了一块标志牌。她一直非常担心，这些梭梭树苗在这么恶劣的环境中，它们能存活下来吗？荒漠能再现生机吗？哈哈哈，最后还是由我来安抚她焦灼不安的心情呢。在离开之前，她拿出相机，拍下这一片黄土和我们满带笑容充满希望的瞬间。
  哦对了，忘了告诉你，她是安吉洛斯，是一名爱心志愿者，嘻嘻。"
21576,迷梭梭与安吉洛斯 Ⅱ
21577,"前几天我翻看日记的时候，翻出那张与迷梭梭在阿拉善合影的照片，背景看上去满目荒凉，再次勾起了我对梭梭树苗的担心。我终于按捺不住内心的冲动，想亲眼去看一看那片土地上的梭梭树苗，它们还在吗？还是绿油油的样子吗？
  又是迷梭梭带我来到阿拉善。哇！眼前的一切我简直不敢相信，这一片曾经的荒漠，现在远远望去已经泛起了绿色，除了当时种下的梭梭树，竟然还有稀疏的野草。我直觉反应是来错了地方，直到看见不远处那块我们亲手安放的标志牌。算起来，距离我们上次来阿拉善才半年多而已，这里的主色调竟然从土黄变成了青黄相接。我无法形容内心的震撼，于是站在同样的位置，我们又拍了一张照片。"
21578,美好的祝福
21579,今天看到了一篇文章《多亏中印，地球比20年前更绿了》里面说“过去20年来地球新增绿化面积相当于整个亚马逊雨林覆盖的面积”，我又想起了我们在阿拉善种下的梭梭林，心中无比骄傲和自豪，阿拉善的梭梭树苗已经长高，它们改善了阿拉善的生态环境。  这一切都要感谢在迷你世界里参加公益的可爱孩子们，真心地祝愿你们永远健康、快乐成长！也感谢那些为了公益而贡献己力的人们，因为有了你们，这个世界才变得更加可爱、美好。
21580,@Null@
21581,@Null@
21582,Score par teinture
21583,胡胡
21584,牛牛
21585,包包
21586,小白
21587,小茜
21588,小康
21589,迷梭梭
21590,安吉洛斯
21591,Transfer akan memakan【#cff3d2b@1#n】@2
21595,Penulis belum membuka toko
21596,waktu pembelian telah mencapai bagian atas yang terbatas.
21597,Pembelian gagal! peta saat ini tidak ada.
21598,Pembelian gagal! Silakan coba lagi.
21599,Pembelian gagal! Melewatkan kesalahan data kartu.
21600,Pembelian gagal! Melebihi durasi kartu lulus max.
21601,Pembelian gagal! Peta kesalahan data.
21602,Pembelian gagal! Anda tidak dapat membeli kartu lulus dari toko Anda sendiri
21603,Validitas kartu lulus tidak boleh lebih dari durasi maksimum pemilikan. Silakan ulang.
21604,Gagal untuk membuka ruang. Silakan pembelian lulus pertama
21605,Selamat! keberhasilan pembelian
21606,"Dear Player, dapatkan Pass Card untuk mengakses map ini dengan cara menonton iklan atau membayar Mini Coin. Yakin beli sekarang?"
21607,Harga diskon tidak bisa lebih besar dari harga asli. Silahkan set lagi
21608,Barang
21609,Toko Info berhasil disimpan
21610,@1 hari
21611,tak satupun
21612,Silakan pilih tag
21613,Silakan pilih produk
21614,Pilih mata uang
21615,Sisa@1 hari
21616,Hanya dukungan dalam mode jaringan
21617,"Dear Player, dapatkan #cfa7a0fPass Card#n untuk mengakses map ini dengan cara  #c0aaa1amenonton iklan#n atau #c0aaa1amembayar Mini Coin#n. Yakin beli sekarang?"
21618,pembelian harian kali batas
21619,Durasi pemilikan Maksimum
21620,Pengaturan waktu untuk pop-up Jendela pembelian
21621,Pass Card Durasi
21622,Harga
21623,#L Jual Waktu
21624,"Ketika penjualan berakhir, item yang ditetapkan akan dihapus. Tapi Anda bisa menempatkannya kembali dijual lagi."
21625,add Tag
21626,Dibeli dengan
21627,Harga asli
21628,Jumlah penayangan sudah habis
21629,Rekomendasi
21630,PANAS
21631,Terbatas
21632,Diskon
21633,#LHarga setelah diskon
21634,"Setelah Anda menetapkan harga diskon, pemain akan membeli pada harga diskon"
21635,#LMasa berlaku
21636,Ini akan kembali ke harga asli setelah diskon acara.
21637,periode jual
21638,Silakan set periode penjualan Anda. Pemain tidak bisa membeli lagi setelah diskon acara berakhir.
